pid:page:w0 w1 w2 w3 w4 w5 w6 w7
58:9:0 0 0 0 0 0 0 0 
83:218:0 0 0 0 0 0 0 0 
83:110:0 0 0 0 5524 0 0 0 
77:199:0 0 0 0 0 0 0 0 
58:25:0 0 0 0 0 0 0 0 
83:28:0 0 0 0 0 0 240 0 
93:122:0 0 0 0 0 61376 0 0 
58:235:0 372 0 0 0 0 0 0 
58:155:0 0 61826 0 0 0 0 0 
83:7:0 0 0 0 0 0 0 413 
83:37:5524 0 0 0 0 0 0 0 
83:190:0 0 0 0 0 0 0 0 
83:136:0 0 0 0 0 0 0 0 
93:4:0 0 0 0 0 0 0 0 
93:0:0 0 0 0 0 0 0 0 
40:172:113 0 0 0 0 0 0 0 
83:69:0 0 0 0 0 0 0 0 
49:190:0 0 0 0 0 0 0 0 
83:250:0 0 0 0 0 0 0 0 
83:225:0 0 0 0 0 0 0 0 
49:180:0 0 0 0 0 0 0 0 
42:245:0 0 0 0 0 0 0 0 
49:8:0 0 262 0 0 0 0 0 
40:163:0 0 0 0 0 0 0 0 
75:98:0 0 0 0 0 0 0 0 
75:179:0 0 0 0 0 0 0 0 
42:143:0 0 0 0 0 0 0 0 
42:146:0 0 0 0 0 0 0 0 
49:164:0 0 0 0 0 0 0 0 
75:107:0 0 0 0 0 348 0 0 
75:0:0 0 0 0 0 0 0 0 
40:83:0 0 0 0 0 0 0 0 
49:82:0 0 0 0 0 610 0 0 
40:38:0 0 544 0 0 0 0 0 
40:48:0 0 0 0 0 0 0 0 
76:129:18410 0 0 0 0 0 0 0 
40:208:0 0 0 922 0 0 0 0 
75:101:0 0 0 0 0 0 0 0 
75:172:0 0 0 0 0 0 0 0 
75:63:0 0 0 0 0 82 0 0 
76:123:0 0 0 0 0 0 0 0 
75:218:0 0 0 0 33652 0 0 0 
75:170:0 0 0 0 0 0 0 0 
40:194:0 0 0 0 0 0 0 922 
75:85:0 0 0 0 0 0 813 0 
87:51:27967 0 0 0 0 0 0 0 
76:37:0 0 0 0 0 0 0 0 
76:219:18410 0 0 0 0 0 0 0 
87:133:0 0 0 0 54442 0 0 0 
87:244:0 0 0 0 0 0 0 0 
94:66:0 0 0 0 0 0 0 0 
49:56:0 0 0 297 0 0 0 0 
94:183:0 177 0 0 0 0 0 0 
76:250:0 0 0 0 0 0 0 0 
87:41:0 0 0 0 0 0 0 0 
94:3:0 0 0 0 0 0 0 0 
94:54:0 0 0 0 0 0 0 0 
87:40:0 22820 0 0 0 0 0 0 
